,,총인구수 (명),남자인구수 (명),여자인구수 (명)
강원특별자치도,　　　정선군,"34,323","17,909","16,414"
강원특별자치도,　　　철원군,"41,490","21,493","19,997"
강원특별자치도,　　　화천군,"23,113","12,405","10,708"
강원특별자치도,　　　양구군,"21,179","11,112","10,067"
강원특별자치도,　　　인제군,"32,003","17,441","14,562"
강원특별자치도,　　　고성군,"27,353","14,063","13,290"
강원특별자치도,　　　양양군,"27,729","14,216","13,513"
충청북도,　　　청주시,"852,448","430,625","421,823"
충청북도,　　　충주시,"207,892","105,443","102,449"
충청북도,　　　제천시,"130,645","65,707","64,938"
충청북도,　　　보은군,"31,073","15,713","15,360"
충청북도,　　　옥천군,"49,011","24,769","24,242"
충청북도,　　　영동군,"44,353","22,212","22,141"
충청북도,　　　증평군,"37,435","19,515","17,920"
충청북도,　　　진천군,"85,751","45,361","40,390"
충청북도,　　　괴산군,"36,527","18,840","17,687"
충청북도,　　　음성군,"91,339","48,521","42,818"
충청북도,　　　단양군,"27,737","14,114","13,623"
충청남도,　　　당진시,"170,097","90,846","79,251"
충청남도,　　　천안시,"657,326","336,792","320,534"
충청남도,　　　공주시,"102,295","51,011","51,284"
충청남도,　　　보령시,"96,068","48,654","47,414"
충청남도,　　　아산시,"341,953","178,180","163,773"
충청남도,　　　서산시,"176,052","92,099","83,953"
충청남도,　　　논산시,"110,833","55,399","55,434"
충청남도,　　　계룡시,"46,478","23,169","23,309"
충청남도,　　　금산군,"50,150","25,360","24,790"
충청남도,　　　부여군,"61,252","30,495","30,757"
충청남도,　　　서천군,"49,242","24,296","24,946"
충청남도,　　　청양군,"30,077","15,365","14,712"
충청남도,　　　홍성군,"97,345","48,600","48,745"
충청남도,　　　예산군,"78,529","39,362","39,167"
충청남도,　　　태안군,"60,866","30,833","30,033"
전라북도,　　　전주시,"643,920","316,365","327,555"
전라북도,　　　군산시,"260,407","131,909","128,498"
전라북도,　　　익산시,"270,546","134,626","135,920"
전라북도,　　　정읍시,"103,755","51,675","52,080"
전라북도,　　　남원시,"76,972","37,755","39,217"
전라북도,　　　김제시,"81,578","40,657","40,921"
전라북도,　　　완주군,"97,304","49,988","47,316"
전라북도,　　　진안군,"24,532","12,528","12,004"
전라북도,　　　무주군,"23,314","11,669","11,645"
전라북도,　　　장수군,"21,036","10,555","10,481"
전라북도,　　　임실군,"26,053","13,401","12,652"
전라북도,　　　순창군,"26,751","13,145","13,606"
전라북도,　　　고창군,"51,737","25,795","25,942"
전라북도,　　　부안군,"49,390","24,591","24,799"
전라남도,　　　목포시,"214,448","106,612","107,836"
전라남도,　　　여수시,"272,151","138,568","133,583"
전라남도,　　　순천시,"278,402","138,938","139,464"
전라남도,　　　나주시,"117,179","59,150","58,029"
전라남도,　　　광양시,"152,327","79,684","72,643"
전라남도,　　　담양군,"45,386","22,960","22,426"
전라남도,　　　곡성군,"26,893","13,348","13,545"
전라남도,　　　구례군,"24,359","11,893","12,466"
전라남도,　　　고흥군,"61,242","29,943","31,299"
전라남도,　　　보성군,"37,785","18,519","19,266"
전라남도,　　　화순군,"61,310","30,332","30,978"
전라남도,　　　장흥군,"35,119","17,173","17,946"
전라남도,　　　강진군,"32,748","15,945","16,803"
전라남도,　　　해남군,"64,735","32,324","32,411"
전라남도,　　　영암군,"52,404","27,411","24,993"
전라남도,　　　무안군,"90,410","45,460","44,950"
전라남도,　　　함평군,"30,604","15,499","15,105"
전라남도,　　　영광군,"51,926","25,962","25,964"
전라남도,　　　장성군,"42,518","21,881","20,637"
전라남도,　　　완도군,"46,805","23,604","23,201"
전라남도,　　　진도군,"28,998","14,471","14,527"
전라남도,　　　신안군,"38,074","20,502","17,572"
경상북도,　　　포항시,"492,941","250,091","242,850"
경상북도,　　　경주시,"248,058","124,229","123,829"
경상북도,　　　김천시,"137,958","69,282","68,676"
경상북도,　　　안동시,"153,241","75,701","77,540"
경상북도,　　　구미시,"405,755","209,241","196,514"
경상북도,　　　영주시,"100,208","49,745","50,463"
경상북도,　　　영천시,"100,253","51,137","49,116"
경상북도,　　　상주시,"93,980","46,258","47,722"
경상북도,　　　문경시,"69,052","33,934","35,118"
경상북도,　　　경산시,"266,843","134,219","132,624"
경상북도,　　　의성군,"50,165","24,814","25,351"
경상북도,　　　청송군,"24,033","12,070","11,963"
경상북도,　　　영양군,"15,736","7,840","7,896"
경상북도,　　　영덕군,"34,154","16,276","17,878"
경상북도,　　　청도군,"41,386","20,506","20,880"
경상북도,　　　고령군,"30,190","15,532","14,658"
경상북도,　　　성주군,"42,207","22,070","20,137"
경상북도,　　　칠곡군,"110,951","58,163","52,788"
경상북도,　　　예천군,"55,450","27,292","28,158"
경상북도,　　　봉화군,"29,753","15,139","14,614"
경상북도,　　　울진군,"46,681","23,578","23,103"
경상북도,　　　울릉군,"9,090","5,046","4,044"
경상남도,　　　창원시,"1,010,820","511,494","499,326"
경상남도,　　　진주시,"341,713","168,730","172,983"
경상남도,　　　통영시,"120,883","60,683","60,200"
경상남도,　　　사천시,"109,009","55,164","53,845"
경상남도,　　　김해시,"533,396","269,687","263,709"
경상남도,　　　밀양시,"102,239","50,405","51,834"
경상남도,　　　거제시,"234,298","122,582","111,716"
경상남도,　　　양산시,"355,136","177,636","177,500"
경상남도,　　　의령군,"25,587","12,723","12,864"
경상남도,　　　함안군,"60,323","30,874","29,449"
경상남도,　　　창녕군,"57,275","28,615","28,660"
경상남도,　　　고성군,"49,488","24,952","24,536"
경상남도,　　　남해군,"40,946","19,968","20,978"
경상남도,　　　하동군,"41,784","20,917","20,867"
경상남도,　　　산청군,"33,800","16,759","17,041"
경상남도,　　　함양군,"37,038","17,971","19,067"
경상남도,　　　거창군,"60,150","29,626","30,524"
경상남도,　　　합천군,"41,354","20,192","21,162"
제주특별자치도,　　　제주시,"492,233","245,874","246,359"
제주특별자치도,　　　서귀포시,"183,886","92,517","91,369"
,,"51,354,226",,
