field1,field2,_GC_TYPE,_X,_Y
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",정,127.04125540748443,37.5166062368455
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",정,127.04067368472491,37.502402184811395
압구정로,서울특별시 강남구 압구정로42길 32 (신사동),정,127.03473442926153,37.52684266304703
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호,정,127.06191667849669,37.4933493938423
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,정,127.04457241785764,37.51078098322672
압구정미소,서울특별시 강남구 논현로 841 (신사동),정,127.0279065985009,37.524061928098654
학여울역,서울특별시 강남구 영동대로 215 (대치동),정,127.06851956760963,37.49799767453622
포이,서울특별시 강남구 논현로 88 (개포동),정,127.04512928552238,37.477813178849104
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),정,127.05271668365441,37.51348372820593
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",정,127.04039564943041,37.508999946927865
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),정,127.06020450387673,37.515247860543994
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",정,127.04852689555149,37.50394403893523
GS타워,서울특별시 강남구 논현로 508 (역삼동),정,127.03733592843459,37.50199436406541
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),정,127.03940969134176,37.492238040620485
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",정,127.0405329564084,37.52654177787351
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",정,127.04674259485431,37.504987288722795
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",정,127.0296979413199,37.49649295372323
신압구정,서울특별시 강남구 언주로174길 29 (신사동),정,127.03643761295685,37.528119369444056
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),정,127.04410171266622,37.502594834987285
수서역사거리,서울특별시 강남구 광평로 280 (수서동),정,127.1031082104252,37.48731882493853
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",정,127.0233850703133,37.517361119030774
논현힐탑,서울특별시 강남구 논현로 648 (논현동),정,127.03227583583346,37.511594628842424
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",정,127.05794351512235,37.50576975235602
대치한티,서울특별시 강남구 선릉로 324 (대치동),정,127.05209485163051,37.49853143876273
센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),정,127.04165171144192,37.50361290297617
대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동),정,127.06706403490257,37.50046477987721
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),정,127.05975820520959,37.51311088185571
개포동,서울특별시 강남구 선릉로 34 (개포동),정,127.06074685092915,37.48284238518555
도산사거리,서울특별시 강남구 언주로 727 (논현동),정,127.03411118762881,37.519597815849814
강남논현,서울특별시 강남구 강남대로 512 (논현동),정,127.02333731653786,37.50789578068412
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동),정,127.02830771483191,37.498163938835525
언주역,서울특별시 강남구 봉은사로 222 (역삼동),정,127.03653135882601,37.50776801495544
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),정,127.09992908933779,37.46727437754063
삼성역,서울특별시 강남구 테헤란로 620 (대치동),정,127.06557887971393,37.50919890602971
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),정,127.02738241700071,37.64000990626476
청담역,서울특별시 강남구 삼성로 709 (청담동),정,127.04951833426364,37.519420528772486
삼성동,서울특별시 강남구 영동대로96길 12 (삼성동),정,127.06358190860374,37.51073827560617
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),정,127.0448545688666,37.5037442664787
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),정,127.0484211869053,37.49923493487935
수유역,서울특별시 강북구 도봉로 342 (번동),정,127.02612888468731,37.63803545562784
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),정,127.03070939399586,37.61184731051946
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),정,127.0211205389672,37.61838677485658
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),정,126.83489445576978,37.55840590496885
미아역,서울특별시 강북구 도봉로 196 (미아동),정,127.02657494853662,37.626145886956856
우장산역,서울특별시 강서구 강서로 267 (내발산동),정,126.83594121218442,37.549599369666126
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),정,126.82596140823202,37.56805907861552
가양역,서울특별시 강서구 양천로 476 (등촌동),정,126.85327264684305,37.56160051321259
파라스파라서울,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,정,127.0065922110041,37.66311974244694
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),정,126.83388863008341,37.56055173723326
마곡역,서울특별시 강서구 공항대로 168 (마곡동),정,126.8261367900923,37.559274711404335
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",정,126.82900604419214,37.56040150597419
방화DT,서울특별시 강서구 방화대로 375 (방화동),정,126.81638617042219,37.574454903744474
화곡동,서울특별시 강서구 화곡로 142(화곡동),정,126.83758227609711,37.5405672049652
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),정,126.86314126620749,37.53500950627912
